idx|Zip|latitude|longitude|irs_estimated_population|location|DogParkrating|count|DogParkScore|PetStoreScore||
108|32254|30.34|-81.73|11360|30.34,-81.73|4019|22|2.159359553|5.5|18612|40
117|32277|30.38|-81.59|27650|30.38,-81.59|4005|22|2.151837524|5.5|18612|40
79|32218|30.49|-81.67|60760|30.49,-81.67|3997|22|2.147539222|5.5|18612|40
60|32145|29.71|-81.5|5160|29.71,-81.5|12241|20|6.576939609|5|18612|40
61|32160|29.77|-82.01|358|29.77,-82.01|8547|20|4.592198582|5|18612|40
10|32004|30.23|-81.38|1133|30.23,-81.38|8240|20|4.427251236|5|18612|40
43|32082|30.23|-81.38|30150|30.23,-81.38|8240|20|4.427251236|5|18612|40
67|32205|30.3|-81.72|24310|30.3,-81.72|7284|20|3.913604126|5|18612|40
94|32233|30.33|-81.4|21210|30.33,-81.4|7284|20|3.913604126|5|18612|40
72|32210|30.27|-81.75|56360|30.27,-81.75|4851|20|2.606382979|5|18612|40
