zip|type|decommissioned|primary_city|acceptable_cities|unacceptable_cities|state|county|timezone|area_codes|world_region|country|latitude|longitude|irs_estimated_population
33052|PO BOX|0|Marathon Shores|Marathon, Marathon Shrs||FL|Monroe County|America/New_York|305, 786|NA|US|24.72|-81.04|445
33054|STANDARD|0|Opa Locka|Miami Gardens||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.91|-80.27|26640
33055|STANDARD|0|Opa Locka|Carol City, Miami Gardens||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.95|-80.28|41100
33056|STANDARD|0|Miami Gardens|Carol City, Opa Locka||FL|Miami-Dade County|America/New_York|305, 754, 786, 954|NA|US|25.93|-80.26|33390
33060|STANDARD|0|Pompano Beach|||FL|Broward County|America/New_York|754, 954|NA|US|26.23|-80.13|30320
33061|PO BOX|0|Pompano Beach|||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|846
33062|STANDARD|0|Pompano Beach|Hillsboro Bch, Hillsboro Beach|Laud By The Sea, Lauderdale By The Sea|FL|Broward County|America/New_York|754, 954|NA|US|26.24|-80.09|20510
33063|STANDARD|0|Pompano Beach|Coconut Creek, Margate||FL|Broward County|America/New_York|754, 954|NA|US|26.25|-80.21|49580
33064|STANDARD|0|Pompano Beach|Deerfield Bch, Deerfield Beach, Lighthouse Point, Lighthouse Pt|Lghthse Point|FL|Broward County|America/New_York|754, 954|NA|US|26.28|-80.12|51570
33065|STANDARD|0|Coral Springs|Margate, Pompano Beach||FL|Broward County|America/New_York|754, 954|NA|US|26.27|-80.26|52150
33066|STANDARD|0|Pompano Beach|Coconut Creek||FL|Broward County|America/New_York|754, 954|NA|US|26.25|-80.17|15030
33067|STANDARD|0|Pompano Beach|Coral Springs, Parkland||FL|Broward County|America/New_York|561, 754, 954|NA|US|26.31|-80.23|26110
33068|STANDARD|0|Pompano Beach|Margate, N Lauderdale, North Lauderdale||FL|Broward County|America/New_York|754, 954|NA|US|26.22|-80.22|49240
33069|STANDARD|0|Pompano Beach|||FL|Broward County|America/New_York|754, 954|NA|US|26.24|-80.16|23850
