,zip,latitude,longitude,irs_estimated_population,location,DogParkrating,PetStoreCount,count
90,32229,30.33,-81.65,150,"30.33,-81.65",4019,,22.0
91,32230,30.33,-81.65,0,"30.33,-81.65",4019,,22.0
92,32231,30.33,-81.65,27,"30.33,-81.65",4019,,22.0
93,32232,30.33,-81.65,27,"30.33,-81.65",4019,,22.0
94,32233,30.33,-81.4,21210,"30.33,-81.4",7284,,20.0
95,32234,30.23,-81.98,7240,"30.23,-81.98",4705,,22.0
96,32235,30.33,-81.65,506,"30.33,-81.65",4019,,22.0
97,32236,30.33,-81.65,1438,"30.33,-81.65",4019,,22.0
98,32237,30.33,-81.65,14,"30.33,-81.65",4019,,22.0
99,32238,30.33,-81.65,839,"30.33,-81.65",4019,,22.0
100,32239,30.33,-81.65,850,"30.33,-81.65",4019,,22.0
101,32240,30.29,-81.39,624,"30.29,-81.39",4891,,22.0
102,32241,30.33,-81.65,1374,"30.33,-81.65",4019,,22.0
103,32244,30.22,-81.75,55370,"30.22,-81.75",4553,,24.0
104,32245,30.33,-81.65,1267,"30.33,-81.65",4019,,22.0
105,32246,30.29,-81.52,50940,"30.29,-81.52",7284,,22.0
106,32247,30.33,-81.65,1089,"30.33,-81.65",8609,,22.0
107,32250,30.29,-81.39,25930,"30.29,-81.39",4891,,22.0
108,32254,30.34,-81.73,11360,"30.34,-81.73",4019,,22.0
109,32255,30.33,-81.65,482,"30.33,-81.65",8609,,22.0
110,32256,30.18,-81.47,48920,"30.18,-81.47",4057,,22.0
111,32257,30.19,-81.61,36020,"30.19,-81.61",8240,,22.0
112,32258,30.14,-81.55,35010,"30.14,-81.55",9001,,22.0
113,32259,30.08,-81.59,65720,"30.08,-81.59",8064,,22.0
114,32260,30.33,-81.65,310,"30.33,-81.65",8609,,24.0
115,32266,30.31,-81.39,6600,"30.31,-81.39",8609,,22.0
116,32267,30.38,-81.41,0,"30.38,-81.41",8609,,22.0
117,32277,30.38,-81.59,27650,"30.38,-81.59",4005,,22.0
118,32290,30.33,-81.65,0,"30.33,-81.65",8609,,24.0
119,32601,29.65,-82.32,9620,"29.65,-82.32",10588,,22.0
120,32602,29.67,-82.33,1034,"29.67,-82.33",10396,,22.0
121,32603,29.66,-82.35,1450,"29.66,-82.35",10588,,22.0
122,32604,29.67,-82.33,733,"29.67,-82.33",10396,,22.0
123,32605,29.68,-82.37,21360,"29.68,-82.37",10150,,22.0
124,32606,29.68,-82.44,21360,"29.68,-82.44",10036,,24.0
125,32607,29.65,-82.42,22630,"29.65,-82.42",8786,,22.0
126,32608,29.6,-82.41,37480,"29.6,-82.41",5693,,22.0
127,32609,29.67,-82.33,13590,"29.67,-82.33",10396,,22.0
128,32610,29.64,-82.34,18,"29.64,-82.34",10396,,22.0
129,32611,29.67,-82.33,70,"29.67,-82.33",10396,,22.0
130,32612,29.64,-82.35,136,"29.64,-82.35",7250,,22.0
131,32613,29.67,-82.33,0,"29.67,-82.33",10396,,22.0
132,32614,29.67,-82.33,1324,"29.67,-82.33",10396,,22.0
133,32615,29.77,-82.48,14030,"29.77,-82.48",9357,,24.0
134,32616,29.78,-82.5,3021,"29.78,-82.5",4563,,24.0
135,32618,29.53,-82.51,6240,"29.53,-82.51",8454,,24.0
136,32622,29.88,-82.33,1280,"29.88,-82.33",11881,,22.0
137,32627,29.67,-82.33,501,"29.67,-82.33",10396,,22.0
138,32631,29.7,-82.09,370,"29.7,-82.09",9539,,22.0
139,32635,29.67,-82.33,620,"29.67,-82.33",10396,,22.0
140,32641,29.64,-82.23,11150,"29.64,-82.23",12769,,24.0
141,32643,29.82,-82.59,11060,"29.82,-82.59",6091,,30.0
142,32653,29.74,-82.39,12740,"29.74,-82.39",9667,,22.0
143,32654,29.58,-82.12,140,"29.58,-82.12",12967,,24.0
144,32655,29.82,-82.59,3003,"29.82,-82.59",6091,,30.0
145,32656,29.78,-82.03,12780,"29.78,-82.03",11055,,22.0
146,32658,29.85,-82.42,668,"29.85,-82.42",10023,,22.0
147,32662,29.51,-82.1,135,"29.51,-82.1",14609,,22.0
148,32667,29.5,-82.28,3300,"29.5,-82.28",9120,,22.0
149,32669,29.64,-82.61,15960,"29.64,-82.61",6356,,26.0
150,32694,29.79,-82.17,1590,"29.79,-82.17",7115,,22.0
151,32697,29.93,-82.43,741,"29.93,-82.43",10017,,22.0
152,39824,31.55,-84.86,300,"31.55,-84.86",3042,,58.0
153,39851,31.61,-84.99,1660,"31.61,-84.99",3095,,36.0
154,39867,31.82,-84.94,280,"31.82,-84.94",3882,,40.0
155,39870,31.3,-84.37,1550,"31.3,-84.37",5868,,42.0
