,zip,Total Pop,Median income,Max Pop,Max Inc,Pop Score,Inc Score,latitude,longitude,irs_estimated_population,dogParkScore,petStoreScore,dogParkFinalScore,petStoreFinalScore,ZipScore,primary_city
52,32136,3900,65772,26800,142263,1,5,29.47,-81.13,7890,28194.0,110,2,2,2.5,Flagler Beach
53,32145,2108,64868,26800,142263,1,5,29.71,-81.5,5160,1608.0,1,1,1,1.8888888888888888,Hastings
54,32218,24313,64298,26800,142263,9,5,30.49,-81.67,60760,558057.0,705,7,5,6.333333333333333,Jacksonville
55,32656,5350,63707,26800,142263,2,4,29.78,-82.03,12780,1170.0,0,1,1,1.8333333333333333,Keystone Heights
56,32024,7747,63013,26800,142263,3,4,30.09,-82.73,17310,80.0,18,1,1,2.0,Lake City
57,32204,4359,61609,26800,142263,2,4,30.32,-81.68,6490,834304.0,2323,9,8,6.444444444444445,Jacksonville
58,32216,17684,61536,26800,142263,7,4,30.28,-81.58,35370,718744.0,2903,8,9,7.222222222222222,Jacksonville
59,30512,10072,61169,26800,142263,4,4,34.87,-83.95,18470,252.0,0,1,1,2.1666666666666665,Blairsville
60,30572,487,60104,26800,142263,0,4,34.73,-84.06,960,84.0,0,1,1,1.5,Suches
61,32219,4945,60100,26800,142263,2,4,30.42,-81.81,12890,248803.0,786,5,5,4.277777777777778,Jacksonville
62,32207,15907,59883,26800,142263,6,4,30.29,-81.64,31250,955090.0,3004,9,10,7.666666666666667,Jacksonville
63,32244,24400,59848,26800,142263,9,4,30.22,-81.75,55370,294758.0,2245,5,8,6.277777777777778,Jacksonville
64,32217,8820,58975,26800,142263,3,4,30.24,-81.63,17410,954266.0,2816,9,9,6.888888888888889,Jacksonville
65,32205,14491,57758,26800,142263,5,4,30.3,-81.72,24310,834562.0,2337,9,8,6.944444444444445,Jacksonville
66,32058,1397,57716,26800,142263,1,4,30.04,-82.07,3190,480.0,2,1,1,1.6666666666666667,Lawtey
67,32618,3441,57674,26800,142263,1,4,29.53,-82.51,6240,95804.0,243,4,3,3.2222222222222223,Archer
68,32608,22032,57249,26800,142263,8,4,29.6,-82.41,37480,237696.0,383,5,4,5.0,Gainesville
69,32079,180,56250,26800,142263,0,4,29.98,-81.81,711,59938.0,274,3,3,2.7222222222222223,Penney Farms
70,32210,26800,55910,26800,142263,10,4,30.27,-81.75,56360,488420.0,2100,6,8,6.777777777777778,Jacksonville
71,32211,13533,54058,26800,142263,5,4,30.33,-81.58,29750,1014680.0,2487,10,8,7.277777777777778,Jacksonville
72,32277,12792,53931,26800,142263,5,4,30.38,-81.59,27650,906322.0,2050,9,8,6.944444444444445,Jacksonville
73,32091,5714,51890,26800,142263,2,4,29.94,-82.11,13140,390.0,0,1,1,1.8333333333333333,Starke
74,32025,8229,51081,26800,142263,3,4,30.11,-82.58,15990,80.0,18,1,1,2.0,Lake City
75,32694,1064,50854,26800,142263,0,4,29.79,-82.17,1590,8172.0,139,1,2,1.7777777777777777,Waldo
76,32110,3478,50528,26800,142263,1,4,29.46,-81.25,7710,6804.0,100,1,2,1.9444444444444444,Bunnell
77,32055,6305,50461,26800,142263,2,4,30.19,-82.64,13500,80.0,54,1,1,1.8333333333333333,Lake City
78,32038,3934,50098,26800,142263,1,4,29.92,-82.71,8570,80.0,0,1,1,1.6666666666666667,Fort White
79,32607,13077,48656,26800,142263,5,3,29.65,-82.42,22630,197642.0,600,5,5,4.555555555555555,Gainesville
80,32212,222,45366,26800,142263,0,3,30.22,-81.67,1320,473032.0,2376,6,8,4.888888888888889,Jacksonville
81,32609,7486,45301,26800,142263,3,3,29.67,-82.33,13590,198342.0,615,5,5,4.222222222222222,Gainesville
82,32044,749,42693,26800,142263,0,3,29.86,-82.13,1480,390.0,0,1,1,1.2777777777777777,Hampton
83,32208,13531,39511,26800,142263,5,3,30.39,-81.68,27540,666307.0,1750,8,8,6.388888888888889,Jacksonville
84,32631,172,38836,26800,142263,0,3,29.7,-82.09,370,6212.0,129,1,2,1.5555555555555556,Earleton
