,name,lat,lng,zip,parkrating
91,Harbor Club Dog Park,33.4879043,-83.2126674,30642,0.0
92,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
93,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
94,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
95,Valley Park,33.4674383,-82.05859,30909,84.0
96,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
97,Grace Street Park,34.2111215,-82.1688288,29649,780.0
98,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
99,NOMA (North Main) Bark Park - Members only,34.027326,-81.0426004,29201,394.0
100,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
101,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
102,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
103,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
104,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
105,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
106,Springdale Dog Park,32.5617538,-82.9466513,31021,94.0
107,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
108,Oconee River Greenway Dog Park,33.084101,-83.21591,31061,2.0
109,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
110,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
111,Hartwell Dog Park,34.3412184,-82.9173873,30643,60.0
112,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
113,Valley Park,33.4674383,-82.05859,30909,84.0
114,Wiggley Field,33.925333,-83.31047199999999,30605,548.0
115,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
116,Grace Street Park,34.2111215,-82.1688288,29649,780.0
117,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
118,Pendleton King Park,33.4616386,-82.01399359999999,30904,2532.0
119,Elliott Park,33.4189507,-82.02079619999999,30906,286.0
120,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
121,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
122,Wiggley Field,33.925333,-83.31047199999999,30605,548.0
123,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
124,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
125,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
126,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
127,Springdale Dog Park,32.5617538,-82.9466513,31021,94.0
128,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
129,Oconee River Greenway Dog Park,33.084101,-83.21591,31061,2.0
130,Harbor Club Dog Park,33.4879043,-83.2126674,30642,0.0
131,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
132,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
133,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
134,Valley Park,33.4674383,-82.05859,30909,84.0
135,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
136,Southeast Clarke Park,33.9270109,-83.3069802,30605,1640.0
137,Grace Street Park,34.2111215,-82.1688288,29649,780.0
138,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
139,Pendleton King Park,33.4616386,-82.01399359999999,30904,2532.0
140,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
141,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
142,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
143,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
144,Bark West Dog Park - Registration Required,33.9851834,-81.0900764,29169,28.0
145,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
146,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
147,Hartwell Dog Park,34.3412184,-82.9173873,30643,60.0
148,Carnesville Paws & Play Park,34.3687571,-83.2351022,30521,2.0
149,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
150,Oconee River Greenway Dog Park,33.084101,-83.21591,31061,2.0
151,Harbor Club Dog Park,33.4879043,-83.2126674,30642,0.0
152,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
153,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
154,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
155,Valley Park,33.4674383,-82.05859,30909,84.0
156,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
157,NOMA (North Main) Bark Park - Members only,34.027326,-81.0426004,29201,394.0
158,Grace Street Park,34.2111215,-82.1688288,29649,780.0
159,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
160,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
161,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
162,NOMA (North Main) Bark Park - Members only,34.027326,-81.0426004,29201,394.0
163,Page Ellington Park Dog Park,34.0217775,-81.0298739,29207,196.0
164,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
165,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
166,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
167,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
168,Hartwell Dog Park,34.3412184,-82.9173873,30643,60.0
169,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
170,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
171,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
172,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
173,Emily Douglas Park,33.9960101,-81.0084284,29205,384.0
174,Valley Park,33.4674383,-82.05859,30909,84.0
175,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
176,Grace Street Park,34.2111215,-82.1688288,29649,780.0
177,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
178,Pendleton King Park,33.4616386,-82.01399359999999,30904,2532.0
179,Elliott Park,33.4189507,-82.02079619999999,30906,286.0
180,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
181,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
182,Riviera Oaks Dog Park,29.2527079,-81.0652032,32117,690.0
183,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
184,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
185,Daytona Beach Lenox Playground,29.215643,-81.00440700000001,32118,448.0
186,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
187,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
188,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
189,Paws Park (member only),30.2835359,-81.406302,32250,264.0
190,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
191,Good dog park,30.4587354,-81.6328316,32218,538.0
192,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
193,"Community Public Dog Park at Halifax Humane Society, Inc.",29.2196088,-81.10707959999999,32124,516.0
194,Squirrel Ridge Park,29.61278799999999,-82.344039,32608,1184.0
195,Rivertown Dog Park,30.0366449,-81.62199960000001,32259,2.0
196,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
197,Orange Park Dog Park,30.1716272,-81.71474119999999,32073,6.0
198,Trails for Tails,30.0979152,-81.4140894,32081,4.0
199,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
200,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
201,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
202,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
203,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
204,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
205,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
206,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
207,Good dog park,30.4587354,-81.6328316,32218,538.0
208,Paws Park (member only),30.2835359,-81.406302,32250,264.0
209,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
210,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
211,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
212,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
213,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
214,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
215,Poochie's Park,30.12608,-81.7985779,32065,1254.0
216,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
217,Eagle Landing Dog Park (Private),30.1475841,-81.8474579,32065,16.0
218,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
219,Trails for Tails,30.0979152,-81.4140894,32081,4.0
220,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
221,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
222,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
223,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
224,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
225,Riviera Oaks Dog Park,29.2527079,-81.0652032,32117,690.0
226,Love's Dog Park,30.4634218,-81.67398999999999,32218,18.0
227,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
228,Daytona Beach Lenox Playground,29.215643,-81.00440700000001,32118,448.0
229,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
230,Good dog park,30.4587354,-81.6328316,32218,538.0
231,Paws Park (member only),30.2835359,-81.406302,32250,264.0
232,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
233,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
234,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
235,Creekside Canines,30.3861034,-81.66256349999999,32208,4.0
236,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
237,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
238,Orange Park Dog Park,30.1710878,-81.7150949,32073,5.0
239,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
240,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
241,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
242,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
243,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
244,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
245,Dog Park,31.1467483,-81.47761910000001,31520,298.0
246,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
247,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
248,Good dog park,30.4587354,-81.6328316,32218,538.0
249,Paws Park (member only),30.2835359,-81.406302,32250,264.0
250,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
251,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
252,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
253,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
254,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
255,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
256,Poochie's Park,30.12608,-81.7985779,32065,1254.0
257,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
258,Eagle Landing Dog Park (Private),30.1475841,-81.8474579,32065,16.0
259,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
260,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
261,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
262,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
263,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
264,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
265,Dog Park,31.1467483,-81.47761910000001,31520,298.0
266,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
267,Good dog park,30.4587354,-81.6328316,32218,538.0
268,Paws Park (member only),30.2835359,-81.406302,32250,264.0
269,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
270,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
271,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
272,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
273,Poochie's Park,30.12608,-81.7985779,32065,1254.0
274,Eagle Landing Dog Park (Private),30.1475841,-81.8474579,32065,16.0
275,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
276,Trails for Tails,30.0979152,-81.4140894,32081,4.0
277,Orange Park Dog Park,30.1716272,-81.71474119999999,32073,6.0
278,Love's Dog Park,30.0030442,-82.59833689999999,32025,10.0
279,Dog Park,30.110808,-81.495595,32258,3.0
280,Freedom Park Dog Park,30.9120318,-83.2523338,31605,402.0
281,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
282,Squirrel Ridge Park,29.61278799999999,-82.344039,32608,1184.0
283,Orange Park Dog Park,30.1716272,-81.71474119999999,32073,6.0
284,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
285,Angel's Dog Park,30.1132131,-83.5790876,32347,60.0
286,Putnam County Dog Park,29.64539329999999,-81.70986889999999,32177,76.0
